county,median_sale_price,ppsf_year_avg,property_type,state,year
Canadian,270000.0,123.30457631925724,Multi-Family (2-4 Unit),Oklahoma,2021
Jefferson,223000.0,195.27082148738043,Townhouse,Oregon,2021
Dane,375900.0,170.39931713500147,Single Family Residential,Wisconsin,2021
Hamblen,255000.0,115.377426701404,All Residential,Tennessee,2021
Greene,189000.0,110.1603882590762,All Residential,Ohio,2021
Mitchell,209000.0,139.91301741748086,Single Family Residential,North Carolina,2021
Cherokee,35000.0,99.73864548157272,All Residential,South Carolina,2021
Chautauqua,199000.0,136.75029793216785,Condo/Co-op,New York,2021
Creek,165000.0,107.08082863051202,Single Family Residential,Oklahoma,2021
Ashland,105750.0,115.46331902985732,All Residential,Ohio,2021
Chatham,193750.0,163.9842234322141,Condo/Co-op,Georgia,2021
Indian River,190000.0,169.24611968945257,Condo/Co-op,Florida,2021
Fannin,225000.0,132.64487375627206,Single Family Residential,Texas,2021
Telfair,77000.0,65.89221324974356,Single Family Residential,Georgia,2021
Hancock,475000.0,188.00847795424588,Single Family Residential,Georgia,2021
Caldwell,180000.0,106.35797347178531,Single Family Residential,Missouri,2021
Chesterfield,180750.0,155.37785761579815,Multi-Family (2-4 Unit),Virginia,2021
Ada,463204.0,278.27924445535194,All Residential,Idaho,2021
Juab,486500.0,164.70626517411796,Single Family Residential,Utah,2021
Yazoo,106400.0,69.4871200361513,All Residential,Mississippi,2021
Butte,252500.0,227.6724299623365,Condo/Co-op,California,2021
Canyon,261595.0,217.83616728725056,Townhouse,Idaho,2021
Cecil,264500.0,141.8408262423568,All Residential,Maryland,2021
Fayette,209950.0,98.59141695585674,Multi-Family (2-4 Unit),Ohio,2021
Liberty,107500.0,100.4040711072196,Townhouse,Georgia,2021
Polk,129755.0,134.67146717984664,Single Family Residential,Tennessee,2021
New Haven,504432.0,157.2260535599756,Townhouse,Connecticut,2021
Pearl River,186000.0,119.62928449288756,All Residential,Mississippi,2021
Washington,244000.0,135.26759207417746,Townhouse,Nebraska,2021
Page,216000.0,129.77994354283646,All Residential,Virginia,2021
Lincoln,110000.0,68.77796293688138,All Residential,Arkansas,2021
Greene,110750.0,103.08451301583744,All Residential,Pennsylvania,2021
Brazoria,295000.0,126.15618776198755,Single Family Residential,Texas,2021
Isanti,215000.0,152.69320244325615,Townhouse,Minnesota,2021
Heard,228750.0,134.08318730863783,All Residential,Georgia,2021
